x,y,xvel,yvel
-1918,1936,515,208
-1916,1938,222,240
-1913,1941,213,518
-1911,1944,339,836
-1910,1947,-20,607
-1909,1950,-349,175
-1908,1951,379,17
-1907,1952,-276,-97
-1907,1953,-94,-85
-1906,1954,325,38
-1906,1953,115,-612
-1904,1951,246,-284
-1901,1952,193,60
-1899,1952,143,-32
-1898,1954,335,324
-1898,1955,51,200
-1897,1957,-70,275
-1896,1958,-59,266
-1895,1960,-15,-27
-1894,1961,-33,-75
-1892,1961,-35,122
-1891,1962,-51,72
-1890,1962,-14,40
-1889,1962,-27,22
-1888,1962,90,119
-1887,1963,262,274
-1885,1964,334,117
-1884,1965,300,96
-1882,1965,321,61
-1881,1965,-30,-302
-1879,1964,225,-514
-1877,1963,247,-333
-1875,1963,300,-282
-1874,1963,276,23
-1873,1963,-327,78
-1873,1964,-379,-40
-1873,1966,-102,-4
-1872,1966,363,119
-1870,1966,311,-158
-1869,1965,-22,-189
-1867,1965,280,-322
-1866,1964,-23,-570
-1865,1962,-99,-520
-1865,1961,108,-625
-1864,1959,67,-409
-1864,1957,65,-453
-1863,1954,45,-454
-1863,1952,22,-498
-1863,1949,-277,-778
-1864,1947,-354,-689
-1864,1943,-154,-699
-1865,1939,-237,-713
-1866,1936,-237,-883
-1868,1933,-518,-787
-1869,1931,-594,-508
-1871,1928,-392,-482
-1873,1926,-478,-487
-1876,1923,-508,-462
-1878,1921,-503,-419
-1881,2175,-775,-429
-1883,2173,-790,-454
-1886,2171,-779,-484
-1888,2168,-772,-771
-1891,2165,-773,-821
-1893,2162,-467,-1031
-1895,2159,-400,-458
-1896,2157,-179,-413
-1898,2156,-615,34
-1898,2155,-297,-181
-1900,2155,-218,-323
-1900,2155,112,-348
-1899,2154,257,-195
-1898,2153,97,-316
-1898,2154,-260,285
-1897,2156,41,497
-1897,2158,13,27
-1897,2159,-324,135
-1898,2161,2,198
-1898,2163,-249,349
-1899,2164,-384,-16
-1900,2165,-551,-108
-1901,2166,-199,-16
-1901,2167,-360,-75
-1902,2168,-163,351
-1903,2170,-166,365
-1904,2172,-150,372
-1905,2174,-161,371
-1905,1920,-174,354
-1906,1921,-223,349
-1907,1923,-185,307
-1908,1924,-302,321
-1909,1927,-238,402
-1910,1930,-147,403
-1910,1934,-141,628
-1911,1937,-379,628
-1912,1939,-162,611
-1912,1943,-329,494
-1912,1947,47,814
-1912,1951,125,481
-1911,1955,-81,451
-1910,1957,129,175
-1909,1959,-11,318
-1907,1961,547,636
-1905,1965,162,553
-1903,1966,266,-312
-1902,1965,-103,-377
-1901,1965,-97,-128
-1901,1966,40,103
-1900,1966,33,86
-1900,1967,-272,-117
-1901,1968,-331,291
-1901,1970,-131,341
-1903,1969,-426,-136
-1905,1970,-227,570
-1905,1973,-313,193
-1905,1974,48,286
-1905,1976,96,-57
-1904,1976,119,-98
-1904,1977,-105,-123
-1903,1978,-61,114
-1902,1978,259,115
-1900,1979,346,-115
-1899,1979,340,54
-1897,1980,360,-35
-1895,1981,178,-85
-1893,1982,173,-101
-1890,1983,225,-112
-1888,1983,415,-86
-1884,1984,453,-116
-1880,1985,813,46
-1877,1984,462,-564
-1874,1983,383,-201
-1873,1983,-80,90
-1872,1983,-52,19
-1871,1983,-111,-282
-1871,1983,-39,-357
-1869,1982,281,-217
-1868,1980,300,-558
-1866,1979,270,-599
-1865,1977,-35,-623
-1864,1975,-46,-633
-1863,1973,-64,-610
-1862,1971,-75,-627
-1862,1970,-126,-392
-1861,1967,-57,-715
-1860,1963,100,-677
-1859,1960,101,-878
-1859,1957,-81,-802
-1858,1954,110,-683
-1858,1950,38,-725
